subject,topic,difficulty,question_text,option_a,option_b,option_c,option_d,option_e,correct_option,explanation,source_reference
Biology,Cell Biology,easy,"Which organelle is primarily responsible for the post-translational modification, sorting, and packaging of proteins synthesized in the rough endoplasmic reticulum?",Lysosome,Golgi apparatus,Peroxisome,Nucleolus,Smooth endoplasmic reticulum,B,"The Golgi apparatus modifies, sorts, and packages proteins from the rough ER.",IMAT Biology
Biology,Genetics,medium,"In human genetics, hemophilia A is inherited as an X-linked recessive trait. If a carrier female has children with an unaffected male, what is the probability that their first son will be affected?",0%,25%,50%,75%,100%,C,"The mother has X^H X^h. A son gets Y from father and has a 50% chance of receiving X^h from mother.",IMAT Biology
Chemistry,Organic Chemistry,easy,"Which functional group is formed when an aldehyde undergoes oxidation with a strong oxidizing agent such as acidified potassium dichromate?",Ketone,Ester,Carboxylic acid,Primary alcohol,Ether,C,"Oxidizing an aldehyde converts the carbonyl group into a carboxylic acid.",IMAT Chemistry
Chemistry,Stoichiometry,medium,"What volume of carbon dioxide (CO2) gas, measured at standard temperature and pressure (STP, where 1 mol = 22.4 L), is produced by the complete thermal decomposition of 50.0 g of calcium carbonate (CaCO3, molar mass = 100.0 g/mol)?",5.6 L,11.2 L,22.4 L,44.8 L,2.8 L,B,"50.0 g CaCO3 = 0.500 mol. Volume at STP = 0.500 * 22.4 L = 11.2 L.",IMAT Chemistry
Physics,Mechanics,medium,"An object of mass 4.0 kg is initially at rest on a frictionless horizontal surface. A constant horizontal force of 12 N is applied to the object for 5.0 seconds. What is the kinetic energy of the object at the end of the 5.0 seconds?",150 J,300 J,450 J,600 J,900 J,C,"a = 12/4 = 3 m/s^2. v = 3*5 = 15 m/s. KE = 0.5 * 4 * 15^2 = 450 J.",IMAT Physics
Physics,Thermodynamics,easy,"Which law of thermodynamics states that the absolute entropy of a pure crystalline substance at absolute zero temperature (0 Kelvin) is equal to exactly zero?",Zeroth Law of Thermodynamics,First Law of Thermodynamics,Second Law of Thermodynamics,Third Law of Thermodynamics,Law of Conservation of Energy,D,"The Third Law of Thermodynamics defines entropy approaching zero at 0 K.",IMAT Physics
Mathematics,Algebra,medium,"For what value of the constant k does the quadratic equation 2x^2 - 8x + k = 0 have exactly one real solution (a repeated root)?",2,4,8,16,-8,C,"Discriminant Delta = (-8)^2 - 4(2)(k) = 64 - 8k = 0 => k = 8.",IMAT Mathematics
Mathematics,Trigonometry,easy,"What is the exact value of sin(pi/6) + cos(pi/3) + tan(pi/4)?",1.0,1.5,2.0,2.5,3.0,C,"sin(pi/6) = 0.5, cos(pi/3) = 0.5, tan(pi/4) = 1. Total = 2.0.",IMAT Mathematics
Logical Reasoning,Critical Thinking,hard,"""All successful surgeons are meticulous. Dr. Vance is meticulous. Therefore, Dr. Vance must be a successful surgeon."" Which of the following best identifies the flaw in this argument?",It assumes that being meticulous is sufficient for being a successful surgeon.,It circular reasoning by presupposing its own conclusion.,It assumes that Dr. Vance wants to become a surgeon.,It generalizes from a single unrepresentative example.,It confuses cause and effect.,A,"This affirms the consequent: being meticulous is necessary but not sufficient.",IMAT Critical Thinking
General Knowledge,History of Medicine,easy,"Which scientist is credited with the discovery of penicillin in 1928, marking the beginning of the modern antibiotic era?",Louis Pasteur,Alexander Fleming,Robert Koch,Edward Jenner,Joseph Lister,B,"Sir Alexander Fleming discovered penicillin in 1928.",IMAT General Knowledge
